,OverallQual,YearBuilt,YearRemodAdd,TotalBsmtSF,1stFlrSF,GrLivArea,FullBath,TotRmsAbvGrd,GarageCars,GarageArea,SalePrice,ExterQual_TA,BsmtQual_Ex,KitchenQual_Ex,KitchenQual_TA,ExterQual_Ex,BsmtQual_TA
0,7,2003,2003,856.0,856.0,1710.0,2,8.0,2.0,548.0,208500.0,0,0,0,0,0,0
1,6,1976,1976,1262.0,1262.0,1262.0,2,6.0,2.0,460.0,181500.0,1,0,0,1,0,0
2,7,2001,2002,920.0,920.0,1786.0,2,6.0,2.0,608.0,223500.0,0,0,0,0,0,0
3,7,1915,1970,756.0,961.0,1717.0,1,7.0,3.0,642.0,140000.0,1,0,0,0,0,1
4,8,2000,2000,1145.0,1145.0,2198.0,2,9.0,3.0,836.0,250000.0,0,0,0,0,0,0
5,5,1993,1995,796.0,796.0,1362.0,1,5.0,2.0,480.0,143000.0,1,0,0,1,0,0
6,8,2004,2005,1686.0,1694.0,1694.0,2,7.0,2.0,636.0,307000.0,0,1,0,0,0,0
7,7,1973,1973,1107.0,1107.0,2090.0,2,7.0,2.0,484.0,200000.0,1,0,0,1,0,0
8,7,1931,1950,952.0,1022.0,1774.0,2,8.0,2.0,468.0,129900.0,1,0,0,1,0,1
9,5,1939,1950,991.0,1077.0,1077.0,1,5.0,1.0,205.0,118000.0,1,0,0,1,0,1
10,5,1965,1965,1040.0,1040.0,1040.0,1,5.0,1.0,384.0,129500.0,1,0,0,1,0,1
11,9,2005,2006,1175.0,1182.0,2324.0,3,10.0,3.0,736.0,340037.5,0,1,1,0,1,0
12,5,1962,1962,912.0,912.0,912.0,1,4.0,1.0,352.0,144000.0,1,0,0,1,0,1
13,7,2006,2007,1494.0,1494.0,1494.0,2,7.0,3.0,840.0,279500.0,0,0,0,0,0,0
14,6,1960,1960,1253.0,1253.0,1253.0,1,5.0,1.0,352.0,157000.0,1,0,0,1,0,1
15,7,1929,2001,832.0,854.0,854.0,1,5.0,2.0,576.0,132000.0,1,0,0,1,0,1
16,6,1970,1970,1004.0,1004.0,1004.0,1,5.0,2.0,480.0,149000.0,1,0,0,1,0,1
17,4,1967,1967,42.0,1296.0,1296.0,2,6.0,2.0,516.0,90000.0,1,0,0,1,0,0
18,5,2004,2004,1114.0,1114.0,1114.0,1,6.0,2.0,576.0,159000.0,1,0,0,0,0,1
19,5,1958,1965,1029.0,1339.0,1339.0,1,6.0,1.0,294.0,139000.0,1,0,0,1,0,1
20,8,2005,2006,1158.0,1158.0,2376.0,3,9.0,3.0,853.0,325300.0,0,1,0,0,0,0
21,7,1930,1950,637.0,1108.0,1108.0,1,6.0,1.0,280.0,139400.0,1,0,0,0,0,1
22,8,2002,2002,1777.0,1795.0,1795.0,2,7.0,2.0,534.0,230000.0,0,0,0,0,0,0
23,5,1976,1976,1040.0,1060.0,1060.0,1,6.0,2.0,572.0,129900.0,1,0,0,1,0,0
24,5,1968,2001,1060.0,1060.0,1060.0,1,6.0,1.0,270.0,154000.0,1,0,0,0,0,1
25,8,2007,2007,1566.0,1600.0,1600.0,2,7.0,3.0,890.0,256300.0,0,0,0,0,0,0
26,5,1951,2000,900.0,900.0,900.0,1,5.0,2.0,576.0,134800.0,1,0,0,0,0,1
27,8,2007,2008,1704.0,1704.0,1704.0,2,7.0,3.0,772.0,306000.0,0,1,0,0,0,0
28,5,1957,1997,1484.0,1600.0,1600.0,1,6.0,1.0,319.0,207500.0,1,0,0,1,0,1
29,4,1927,1950,520.0,520.0,520.0,1,4.0,1.0,240.0,68500.0,1,0,0,0,0,1
30,4,1920,1950,649.0,649.0,1317.0,1,6.0,1.0,250.0,40000.0,1,0,0,1,0,1
